"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"145",3462,246,79,97,1,8,2013
"146",4011,3979,1529,2639,14,1018,2013
"147",4012,981,334,588,7,223,2013
"148",5111,3894,1463,2609,12,1023,2013
"149",5112,2835,1160,1879,22,638,2013
"150",5113,2595,1136,1924,11,699,2013
"151",5114,1562,460,733,2,239,2013
"152",5116,1269,575,853,8,234,2013
"153",5117,599,242,389,4,126,2013
"154",5119,1181,370,581,4,187,2013
"155",5120,661,173,249,1,66,2013
"156",5122,725,248,368,3,108,2013
"157",5124,2470,650,1152,6,451,2013
"158",5154,1097,345,515,6,148,2013
"159",5158,2037,687,945,10,219,2013
"160",5162,1657,478,748,2,224,2013
"161",5166,943,287,425,6,114,2013
"162",5170,2085,672,980,2,286,2013
"163",5314,1749,679,1185,0,457,2013
"164",5315,8615,3488,5574,35,1851,2013
"165",5316,967,371,552,4,161,2013
"166",5334,2987,1321,2058,20,649,2013
"167",5358,1297,443,665,7,189,2013
"168",5362,2166,643,1052,13,340,2013
"169",5366,649,254,345,2,81,2013
"170",5370,1095,344,503,5,125,2013
"171",5374,964,328,464,6,101,2013
"172",5378,904,248,360,1,90,2013
"173",5382,1752,662,1036,10,313,2013
"174",5512,471,190,273,4,71,2013
"175",5513,1737,613,1025,8,376,2013
"176",5515,1587,559,833,1,243,2013
"177",5554,1453,395,563,3,142,2013
"178",5558,786,204,295,1,74,2013
"179",5562,2858,966,1505,11,452,2013
"180",5566,1572,429,598,1,141,2013
"181",5570,939,229,335,2,78,2013
"182",5711,1648,474,724,3,200,2013
"183",5754,1068,364,533,8,139,2013
"184",5758,823,241,382,5,115,2013
"185",5762,561,185,218,2,24,2013
"186",5766,828,408,574,10,124,2013
"187",5770,810,302,470,7,138,2013
"188",5774,1086,412,566,3,120,2013
"189",5911,2466,872,1337,9,417,2013
"190",5913,3975,1935,3257,19,1221,2013
"191",5914,1010,320,553,2,212,2013
"192",5915,793,297,455,4,120,2013
"193",5916,1015,246,409,3,146,2013
"194",5954,1328,395,589,4,173,2013
"195",5958,949,232,358,9,89,2013
"196",5962,2117,583,875,14,234,2013
"197",5966,560,170,209,1,33,2013
"198",5970,1112,381,483,1,81,2013
